12,tt0192947
187,tt0118531
50-50,tt1306980
A Scanner Darkly,tt0405296
Adaptation,tt0268126
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",tt0086856
After School Special,tt0302297
Airplane 2: The Sequel,tt0083530
Alien,tt0078748
Alien 3,tt0103644
Alien vs. Predator,tt0370263
All the King's Men,tt0041113
American Psycho,tt0144084
American Shaolin: King of Kickboxers II,tt0101327
"Avengers, The",tt0118661
"Avventura, L' (The Adventure)",tt0053619
Batman 2,tt0103776
Beauty and the Beast,tt2771200
Being Human,tt0106379
Birdman,tt2562232
"Blast from the Past, The",tt0124298
Bodyguard,tt0103855
Bones,tt0166110
Boondock Saints 2: All Saints Day,tt0144117
Break,tt0091763
Buffy the Vampire Slayer,tt0103893
Cars 2,tt1216475
City of Joy,tt0103976
Clash of the Titans,tt0800320
Commando,tt0088944
Conan the Barbarian,tt0816462
Crash,tt0115964
Custody,tt0759956
Dave Barry's Complete Guide to Guys,tt0407680
"Day the Clown Cried, The",tt0068451
Death at a Funeral,tt1321509
Death to Smoochy,tt0266452
"Distinguished Gentleman, The",tt0104114
"Dry White Season, A",tt0097243
Dune,tt0087182
Ed TV,tt0131369
Evil Dead II: Dead by Dawn,tt0092991
Face Off,tt0119094
Fantastic Mr Fox,tt0432283
Four Feathers,tt0240510
Frankenstein,tt0109836
Freddy vs. Jason,tt0329101
Fright Night (1985),tt0089175
Frozen,tt1323045
Frozen (Disney),tt2294629
Ghost Rider,tt0259324
Ghostbusters 2,tt0097428
Glengarry Glen Gross,tt0104348
Godfather,tt0068646
Godzilla,tt0120685
Grand Hotel,tt0022958
Grosse Point Blank,tt0119229
Halloween,tt1502407
Hard to Kill,tt0099739
Harold and Kumar Go to White Castle,tt0366551
Hellboy 2: The Golden Army,tt0411477
Hellraiser 3: Hell on Earth,tt0104409
"I, Robot",tt0343818
Indiana Jones and the Raiders of the Lost Ark,tt0082971
"Informant, The",tt1130080
Interview with the Vampire,tt0110148
Jennifer Eight,tt0104549
Jeux Interdits,tt0043686
Judge Dredd,tt0113492
Jurassic Park: The Lost World,tt0119567
Labor of Love,tt1677731
"Last of the Mohicans, The",tt0104691
Le Diable par la Queue,tt0064232
Legend,tt0089469
Les Miserables,tt1707386
Les Tontons Flingueurs,tt0057591
Leviathan,tt0097737
Liar Liar,tt0119528
Life,tt0123964
"Lord of the Rings: Fellowship of the Ring, The",tt0120737
Lord of the Rings: Return of the King,tt0167260
Lost in Space,tt0120738
Love and Basketball,tt0199725
Mad Max 2: The Road Warrior,tt0082694
"Mariachi, El",tt0104815
Mighty Morphin Power Rangers: The Movie,tt0113820
Mission Impossible,tt0117060
Mission Impossible II,tt0120755
Mr Brooks,tt0780571
My Mother Dreams the Satan's Disciples in New York,tt0177023
"Nightmare on Elm Street, A",tt0087800
Nightmare on Elm Street: The Final Chapter,tt0101917
"Perfect World, A",tt0107808
"Planet of the Apes, The",tt0063442
Pokemon: Mewtwo Returns,tt0304564
Pretty Woman (final script),tt0100405
Pride and Prejudice,tt0414387
"Producer, The",tt0063462
"Program, The",tt0107889
Prom Night,tt0081383
Quantum Project,tt0239860
Raging Bull,tt0081398
Rambo: First Blood II: The Mission,tt0089880
Resident Evil,tt0120804
"Rock, The",tt0117500
"Sandlot Kids, The",tt0108037
Sex and the City,tt1000774
Silence of the Lambs,tt0102926
Simone,tt0258153
Solaris,tt0307479
South Park,tt0158983
Spare Me,tt0108200
Spartan,tt0360009
Star Wars: A New Hope,tt0076759
Star Wars: Attack of the Clones,tt0121765
Star Wars: Return of the Jedi,tt0086190
Star Wars: The Empire Strikes Back,tt0080684
Star Wars: The Force Awakens,tt2488496
Star Wars: The Phantom Menace,tt0120915
"Stuntman, The",tt0081568
Sugar and Spice,tt0186589
Supergirl,tt0088206
Terminator,tt0088247
Terminator 2: Judgement Day,tt0103064
"Things My Father Never Taught Me, The",tt2234521
Three Kings (Spoils of War),tt0120188
"Three Musketeers, The",tt0108333
Top Gun,tt0092099
Tristan and Isolde,tt0089146
TRON: Legacy,tt1104001
Twilight: New Moon,tt1259571
Twin Peaks,tt27449259
Un Singe en Hiver,tt0056636
"Walk to Remember, A",tt0281358
Withnail and I,tt0094336
"X-Files: Fight the Future, The",tt0120902
