,title,page_link,writer,script_link,script_downloaded
0,10 Things I Hate About You,https://imsdb.com/Movie%20Scripts/10%20Things%20I%20Hate%20About%20You%20Script.html,"Written by Karen McCullah Lutz,Kirsten Smith,William Shakespeare",https://imsdb.com/scripts/10-Things-I-Hate-About-You.html,Yes
1,12,https://imsdb.com/Movie%20Scripts/12%20Script.html,Written by Lawrence Bridges,https://imsdb.com/scripts/12.html,Yes
2,12 and Holding,https://imsdb.com/Movie%20Scripts/12%20and%20Holding%20Script.html,Written by Anthony Cipriano,https://imsdb.com/scripts/12-and-Holding.html,Yes
3,12 Monkeys,https://imsdb.com/Movie%20Scripts/12%20Monkeys%20Script.html,"Written by David Peoples,Janet Peoples",https://imsdb.com/scripts/12-Monkeys.html,Yes
4,12 Years a Slave,https://imsdb.com/Movie%20Scripts/12%20Years%20a%20Slave%20Script.html,Written by John Ridley,https://imsdb.com/scripts/12-Years-a-Slave.html,Yes
5,127 Hours,https://imsdb.com/Movie%20Scripts/127%20Hours%20Script.html,"Written by Simon Beaufoy,Danny Boyle",https://imsdb.com/scripts/127-Hours.html,Yes
6,1492: Conquest of Paradise,https://imsdb.com/Movie%20Scripts/1492:%20Conquest%20of%20Paradise%20Script.html,Written by Roslyne Bosch,https://imsdb.com/scripts/1492-Conquest-of-Paradise.html,Yes
7,15 Minutes,https://imsdb.com/Movie%20Scripts/15%20Minutes%20Script.html,Written by John Hertzfield,https://imsdb.com/scripts/15-Minutes.html,Yes
8,17 Again,https://imsdb.com/Movie%20Scripts/17%20Again%20Script.html,Written by Jason Filardi,https://imsdb.com/scripts/17-Again.html,Yes
9,187,https://imsdb.com/Movie%20Scripts/187%20Script.html,Written by Scott Yagemann,https://imsdb.com/scripts/187.html,Yes
10,2001: A Space Odyssey,https://imsdb.com/Movie%20Scripts/2001:%20A%20Space%20Odyssey%20Script.html,"Written by Stanley Kubrick,Arhur C. Clarke",https://imsdb.com/scripts/2001-A-Space-Odyssey.html,Yes
11,2012,https://imsdb.com/Movie%20Scripts/2012%20Script.html,"Written by Roland Emmerich,Harald Kloser",https://imsdb.com/scripts/2012.html,Yes
12,20th Century Women,https://imsdb.com/Movie%20Scripts/20th%20Century%20Women%20Script.html,Written by Mike Mills,https://imsdb.com/scripts/20th-Century-Women.html,Yes
13,25th Hour,https://imsdb.com/Movie%20Scripts/25th%20Hour%20Script.html,Written by David Benioff,https://imsdb.com/scripts/25th-Hour.html,No
14,28 Days Later,https://imsdb.com/Movie%20Scripts/28%20Days%20Later%20Script.html,Written by Alex Garland,https://imsdb.com/scripts/28-Days-Later.html,Yes
15,30 Minutes or Less,https://imsdb.com/Movie%20Scripts/30%20Minutes%20or%20Less%20Script.html,"Written by Michael Diliberti,Matthew Sullivan",https://imsdb.com/scripts/30-Minutes-or-Less.html,Yes
16,42,https://imsdb.com/Movie%20Scripts/42%20Script.html,Written by Brian Helgeland,https://imsdb.com/scripts/42.html,Yes
17,44 Inch Chest,https://imsdb.com/Movie%20Scripts/44%20Inch%20Chest%20Script.html,"Written by Louis Mellis,David Scinto",https://imsdb.com/scripts/44-Inch-Chest.html,Yes
18,48 Hrs.,https://imsdb.com/Movie%20Scripts/48%20Hrs.%20Script.html,"Written by Steven E. De Souza,Walter Hill,Roger Spottiswoode,Larry Gross,Jeb Stuart",https://imsdb.com/scripts/48-Hrs..html,Yes
19,50-50,https://imsdb.com/Movie%20Scripts/50-50%20Script.html,Written by Will Reiser,https://imsdb.com/scripts/50-50.html,Yes
20,500 Days of Summer,https://imsdb.com/Movie%20Scripts/500%20Days%20of%20Summer%20Script.html,"Written by Scott Neustadter,Michael H. Weber",https://imsdb.com/scripts/500-Days-of-Summer.html,Yes
21,8 Mile,https://imsdb.com/Movie%20Scripts/8%20Mile%20Script.html,Written by Scott Silver,https://imsdb.com/scripts/8-Mile.pdf,No
22,8MM,https://imsdb.com/Movie%20Scripts/8MM%20Script.html,Written by Andrew Kevin Walker,https://imsdb.com/scripts/8MM.html,Yes
23,9,https://imsdb.com/Movie%20Scripts/9%20Script.html,"Written by Pamela Pettler,Shane Acker",https://imsdb.com/scripts/9.html,Yes
24,A Few Good Men,https://imsdb.com/Movie%20Scripts/A%20Few%20Good%20Men%20Script.html,Written by Aaron Sorkin,https://imsdb.com/scripts/A-Few-Good-Men.html,Yes
25,A Most Violent Year,https://imsdb.com/Movie%20Scripts/A%20Most%20Violent%20Year%20Script.html,Written by J.C. Chandor,https://imsdb.com/scripts/A-Most-Violent-Year.html,Yes
26,A Prayer Before Dawn,https://imsdb.com/Movie%20Scripts/A%20Prayer%20Before%20Dawn%20Script.html,Written by Jonathan Hirschbein,https://imsdb.com/scripts/A-Prayer-Before-Dawn.html,Yes
27,A Quiet Place,https://imsdb.com/Movie%20Scripts/A%20Quiet%20Place%20Script.html,"Written by Bryan Woods,Scott Beck,John Krasinski",https://imsdb.com/scripts/A-Quiet-Place.html,Yes
28,A Scanner Darkly,https://imsdb.com/Movie%20Scripts/A%20Scanner%20Darkly%20Script.html,Written by Charlie Kaufman,https://imsdb.com/scripts/A-Scanner-Darkly.html,Yes
29,A Serious Man,https://imsdb.com/Movie%20Scripts/A%20Serious%20Man%20Script.html,"Written by Joel Coen,Ethan Coen",https://imsdb.com/scripts/A-Serious-Man.html,Yes
30,Above the Law,https://imsdb.com/Movie%20Scripts/Above%20the%20Law%20Script.html,"Written by Steven Pressfield,Ronald Shusett,Andrew Davis,Steven Seagal",https://imsdb.com/scripts/Above-the-Law.html,Yes
